Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
42CAP,https://www.42cap.com/,"Seitzstr. 23, 80538 München, Germany","Germany,France,Spain,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Greece,Georgia,Finland,Estonia,Denmark,Hungary,Iceland,Ireland,Italy,Liechtenstein,Luxembourg,Latvia,Lithuania,Malta,Monaco,Bosnia-H,Ukraine,UK,Switzerland,Sweden,Portugal,Netherlands,Poland,Serbia,Norway,Romania,Slovenia,Slovakia,Turkey","3. Early Revenue,2. Prototype",We invest in seed-stage tech- and data-driven B2B software companies across Europe with global ambition.,VC,"$500,000","$2,000,000"
43North,https://www.43north.org/,"Seneca One Tower - 1 West Seneca St., Floor 24, Buffalo, NY 14203","Canada,USA","3. Early Revenue,4. Scaling","We invest in startups that have a full-time founding team, are generating revenue, and have raised outside capital. We're industry agnostic, but are particularly interested in digital health, supply chain tech, agtech and foodtech, fintech, and enterprise SAAS.","Incubator, Accelerator","$1,000,000","$1,000,000"
44 Capital Management,https://www.44.capital/,New York,USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in companies at the intersection of Blockchain + real estate / emerging proptech. Real-world asset use cases globally; on-chain asset tokenization, compliant-tech, ESG/ infrastructure, AI/ machine learning, and adjacent DeFi/ TradFi (web2.5) structured finance solutions.. Pre/Seed - Series A.",VC,"$50,000","$500,000"
50 Partners Capital,http://www.50partners.fr/,"62 rue Jean Jacques Rousseau, 75001 Paris",France,"1. Idea or Patent,2. Prototype,3. Early Revenue",We only invest in the companies accelerated by 50 Partners.,Angel network,"$20,000","$500,000"
70V,https://www.70v.com/,"Domininkonu 11, Vilnius, Lithuania","Lithuania,Latvia,Estonia,Finland,Denmark,Sweden","2. Prototype,3. Early Revenue,4. Scaling",We invest in B2B SaaS / Enterprise software companies with ACV > 2kEUR and outbound sales strategies. Early revenue is a huge benefit.,VC,"$50,000","$300,000"
77 Partners,https://www.77partners.vc/,"The Precinct, TC Beirne Building  Level 3, 315 Brunswick Street, Fortitude Valley  Brisbane, Queensland 4006, Australia",Australia,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in ambitious Australian founders. We’re looking for early stage ventures leveraging FrontierTech including: AI & Machine Learning, IoT & Edge Computing, Advanced Manufacturing & Robotics, Energy & Smart Infrastructure and Quantum & Cybersecurity.",VC,"$100,000","$300,000"
100X.VC,https://www.100x.vc,"91 springboard, Godrej & Boyce, Gate No.2, LBS Marg, Vikhroli West, Mumbai, Maharashtra 400079",India,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in all sectors focused on writing the first cheque in Indian pre-seed / seed-stage startups.,VC,"$35,000","$35,000"
115K,https://www.115k.fr/,"104 boulevard de Sébastopol, 75003 Paris",France,"3. Early Revenue,4. Scaling","We invest in B2B SaaS with a focus on Fintech, Insurtech, Cybersecurity, Data and AI, with Bank/Insurance use cases ",Corporate VC,"$500,000","$5,000,000"
128vc,https://www.128vc.com,"8 Grant Pl, Lexington, MA 02420",USA,"3. Early Revenue,4. Scaling","We invest in AI B2B software companies in North America, leveraging first access to Founder Institute global AI B2B portfolio ($270M+ raised since 2021) and our exclusive nearshore AI talent community. ",VC,"$50,000","$100,000"
212,https://212.vc/,"Uvez Sokak, No:5, Arnavutkoy, Besiktas, Istanbul 34345, TR","Turkey,Romania,Albania,Azerbaijan,Bosnia-H,Bulgaria,Czech Republic,Lithuania,Serbia,Uzbekistan,UAE,Ukraine,Turkmenistan,Poland,Qatar,Hungary","4. Scaling,5. Growth","We invest in Series A with an average ticket size of €1-5 million and are looking for B2B tech solutions in the early and growth stage. We invest in all types of software, deep tech, and enterprise hardware.",VC,"$1,000,000","$5,000,000"
212Founders,https://www.212founders.ma/,"179 Angle des Boulevards de Londres et de la Résistance, Casablanca 20250, Morocco",Morocco,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early-stage Moroccan startups after a 6-month incubation program.,"Incubator, Accelerator","$200,000","$700,000"
360 Capital,https://www.360cap.vc/,"13 Avenue de l’Opéra, 75001 Paris","France,Italy,Spain,UK,Germany,Portugal,Netherlands,Switzerland,Israel","2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage, innovative deeptech & digital enterprises across Europe. ",VC,"$150,000","$8,000,000"
360 Venture Collective,https://www.360venturecollective.com/,"66 West Flagler Street, Suite 900 - #4573, Miami Florida 33130",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in & accelerate pre-seed & seed stage companies formed in the US & led by historically underestimated founders building venture scale tech-enabled companies in the fin-tech, health-tech, future of work prop-tech, and nonprofit impact sectors. ",VC,"$50,000","$500,000"
365.fintech,https://www.365fintech.vc/,"Dvořákovo nábrežie 4, 811 02, Bratislava, Slovakia ","Slovakia,Czech Republic,Hungary,Poland,Estonia,Latvia,Lithuania,UK,Germany,Belgium,Netherlands,Austria","3. Early Revenue,4. Scaling","We invest in innovative B2B and B2B2C fintech, insurtech and big data startups with a primary geographic focus on CEE, Balkans, Baltics and Europe at large. ",VC,"$50,000","$500,000"
404Fund,https://404.investments/,"Toronto, Canada",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest across stages – from Pre-Seed to Series A – in the fintech sector, covering:

Payments, lending, and banking infrastructure
Wealthtech, insurtech, and regtech solutions
Crypto/Web3 finance applications
AI-driven financial solutions",VC,"$100,000","$500,000"
