Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
42CAP,https://www.42cap.com/,"Seitzstr. 23, 80538 München, Germany","Germany,France,Spain,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Greece,Georgia,Finland,Estonia,Denmark,Hungary,Iceland,Ireland,Italy,Liechtenstein,Luxembourg,Latvia,Lithuania,Malta,Monaco,Bosnia-H,Ukraine,UK,Switzerland,Sweden,Portugal,Netherlands,Poland,Serbia,Norway,Romania,Slovenia,Slovakia,Turkey","3. Early Revenue,2. Prototype",We invest in seed-stage tech- and data-driven B2B software companies across Europe with global ambition.,VC,"$500,000","$2,000,000"
43North,https://www.43north.org/,"Seneca One Tower - 1 West Seneca St., Floor 24, Buffalo, NY 14203","Canada,USA","3. Early Revenue,4. Scaling","We invest in startups that have a full-time founding team, are generating revenue, and have raised outside capital. We're industry agnostic, but are particularly interested in digital health, supply chain tech, agtech and foodtech, fintech, and enterprise SAAS.","Incubator, Accelerator","$1,000,000","$1,000,000"
44 Capital Management,https://www.44.capital/,New York,USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in companies at the intersection of Blockchain + real estate / emerging proptech. Real-world asset use cases globally; on-chain asset tokenization, compliant-tech, ESG/ infrastructure, AI/ machine learning, and adjacent DeFi/ TradFi (web2.5) structured finance solutions.. Pre/Seed - Series A.",VC,"$50,000","$500,000"
50 Partners Capital,http://www.50partners.fr/,"62 rue Jean Jacques Rousseau, 75001 Paris",France,"1. Idea or Patent,2. Prototype,3. Early Revenue",We only invest in the companies accelerated by 50 Partners.,Angel network,"$20,000","$500,000"
70V,https://www.70v.com/,"Domininkonu 11, Vilnius, Lithuania","Lithuania,Latvia,Estonia,Finland,Denmark,Sweden","2. Prototype,3. Early Revenue,4. Scaling",We invest in B2B SaaS / Enterprise software companies with ACV > 2kEUR and outbound sales strategies. Early revenue is a huge benefit.,VC,"$50,000","$300,000"
77 Partners,https://www.77partners.vc/,"The Precinct, TC Beirne Building  Level 3, 315 Brunswick Street, Fortitude Valley  Brisbane, Queensland 4006, Australia",Australia,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in ambitious Australian founders. We’re looking for early stage ventures leveraging FrontierTech including: AI & Machine Learning, IoT & Edge Computing, Advanced Manufacturing & Robotics, Energy & Smart Infrastructure and Quantum & Cybersecurity.",VC,"$100,000","$300,000"
100X.VC,https://www.100x.vc,"91 springboard, Godrej & Boyce, Gate No.2, LBS Marg, Vikhroli West, Mumbai, Maharashtra 400079",India,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in all sectors focused on writing the first cheque in Indian pre-seed / seed-stage startups.,VC,"$35,000","$35,000"
115K,https://www.115k.fr/,"104 boulevard de Sébastopol, 75003 Paris",France,"3. Early Revenue,4. Scaling","We invest in B2B SaaS with a focus on Fintech, Insurtech, Cybersecurity, Data and AI, with Bank/Insurance use cases ",Corporate VC,"$500,000","$5,000,000"
128vc,https://www.128vc.com,"8 Grant Pl, Lexington, MA 02420",USA,"3. Early Revenue,4. Scaling","We invest in AI B2B software companies in North America, leveraging first access to Founder Institute global AI B2B portfolio ($270M+ raised since 2021) and our exclusive nearshore AI talent community. ",VC,"$50,000","$100,000"
212,https://212.vc/,"Uvez Sokak, No:5, Arnavutkoy, Besiktas, Istanbul 34345, TR","Turkey,Romania,Albania,Azerbaijan,Bosnia-H,Bulgaria,Czech Republic,Lithuania,Serbia,Uzbekistan,UAE,Ukraine,Turkmenistan,Poland,Qatar,Hungary","4. Scaling,5. Growth","We invest in Series A with an average ticket size of €1-5 million and are looking for B2B tech solutions in the early and growth stage. We invest in all types of software, deep tech, and enterprise hardware.",VC,"$1,000,000","$5,000,000"
212Founders,https://www.212founders.ma/,"179 Angle des Boulevards de Londres et de la Résistance, Casablanca 20250, Morocco",Morocco,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early-stage Moroccan startups after a 6-month incubation program.,"Incubator, Accelerator","$200,000","$700,000"
360 Capital,https://www.360cap.vc/,"13 Avenue de l’Opéra, 75001 Paris","France,Italy,Spain,UK,Germany,Portugal,Netherlands,Switzerland,Israel","2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage, innovative deeptech & digital enterprises across Europe. ",VC,"$150,000","$8,000,000"
360 Venture Collective,https://www.360venturecollective.com/,"66 West Flagler Street, Suite 900 - #4573, Miami Florida 33130",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in & accelerate pre-seed & seed stage companies formed in the US & led by historically underestimated founders building venture scale tech-enabled companies in the fin-tech, health-tech, future of work prop-tech, and nonprofit impact sectors. ",VC,"$50,000","$500,000"
365.fintech,https://www.365fintech.vc/,"Dvořákovo nábrežie 4, 811 02, Bratislava, Slovakia ","Slovakia,Czech Republic,Hungary,Poland,Estonia,Latvia,Lithuania,UK,Germany,Belgium,Netherlands,Austria","3. Early Revenue,4. Scaling","We invest in innovative B2B and B2B2C fintech, insurtech and big data startups with a primary geographic focus on CEE, Balkans, Baltics and Europe at large. ",VC,"$50,000","$500,000"
404Fund,https://404.investments/,"Toronto, Canada",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest across stages – from Pre-Seed to Series A – in the fintech sector, covering:

Payments, lending, and banking infrastructure
Wealthtech, insurtech, and regtech solutions
Crypto/Web3 finance applications
AI-driven financial solutions",VC,"$100,000","$500,000"
500 Global,https://500.co/,"814 Mission Street, San Francisco, CA 94103","USA,Mexico,India,Pakistan,Colombia,Brazil,Afghanistan,Albania,Algeria,Angola,Andorra,Antigua and Barbuda,Armenia,Argentina,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Barbados,Bangladesh,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Oman,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,UK,Ukraine,UAE,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in companies in markets where technology, innovation, and capital can unlock long-term value and drive economic growth.",VC,"$150,000","$2,500,000"
500 Istanbul,https://istanbul.500.co/,"Eerste Weteringplantsoen 8, 1017 SK Amsterdam, the Netherlands","Turkey,Poland,Estonia,Latvia,Lithuania,Ukraine,Romania,Bulgaria,Slovenia,Greece,Slovakia,Hungary,Croatia,Bosnia-H,Montenegro,Albania,Serbia,North Macedonia,USA,UK","2. Prototype,3. Early Revenue","We invest in globally-focused seed stage startups with teams in Turkey, Eastern Europe and the Baltics.",VC,"$150,000","$1,000,000"
645 Ventures,https://645ventures.com/,"New York City, USA","USA,Canada,UK","3. Early Revenue,2. Prototype,4. Scaling","We invest in tech-enabled businesses across four investment themes: SaaS For The Second Wave, Citizen Professionals, The Engineering Value Chain Revolution, and Personalized Consumer Tech: https://645ventures.com/themes/",VC,"$750,000","$6,000,000"
840 Venture Partners,https://840vp.com/,"220 East 23rd St, Ste 400, NY NY 10016","Brazil,USA,Canada,Mexico,UK,Spain,Italy,France","3. Early Revenue,4. Scaling,5. Growth","We invest in two verticals:
Fintech (b2b, b2c, opening banking, credit underwriting, p2p lending, defi, metaverse) - applications, ideas, missions that will make the world a better, more equitable place for our kids
Future of Work - (metaverse, AI, ML, remote work) ideas that allow us to work smarter.  ",VC,"$100,000","$2,000,000"
1337 Ventures,https://1337.ventures/,"C-19-08, KL Trillion, 50400, Kuala Lumpur, Malaysia ","Malaysia,Vietnam,Philippines,Thailand","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in ideation and early stage startups that are looking to serve ASEAN markets.,VC,"$2,500","$50,000"
1414 Ventures,https://www.1414ventures.com/,"1380 Soldiers Field Rd Suite #3900, Boston, MA 02135","USA,Canada,UK,Ireland,Israel","2. Prototype,1. Idea or Patent,3. Early Revenue",We invest in Digital Identity companies at the pre-seed and seed stage.,VC,"$100,000","$400,000"
1435 Capital Management,https://1435capital.com,"23 Orchard Rd, Ste 101, Skillman, NJ 08558",USA,"2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in growth stage companies from Seed through Series B broadly in tech.,VC,"$100,000","$1,000,000"
1619 Ventures,https://1619.vc,"DIFC, Dubai, UAE","USA,UAE,Saudi Arabia,India,China",3. Early Revenue,We invest in Deep Tech companies which have potential of 2X revenue in the Gulf countries,VC,"$500,000","$3,000,000"
1818 Venture Capital,https://www.1818venturecapital.com,"Upper House, Smith Street, St Peter Port, Guernsey, Channel Islands GY12JQ, GB","UK,Saudi Arabia,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in digital technologies with a relevance to professional services, with a particular focus on financial services. ",VC,"$200,000","$1,000,000"
1982 Ventures,https://1982.vc/,112 ROBINSON ROAD #12-02(A) SINGAPORE 068902,"Indonesia,Singapore,Philippines,Vietnam,Malaysia,Thailand,Pakistan,Bangladesh,Cambodia,Laos,Myanmar","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in seed stage ( first money ) fintech, regtech, insurtech, SaaS for finance, payments startups in Southeast Asia.",VC,"$250,000","$500,000"
2048 Ventures,https://www.2048.vc/,"New York, NY 10001, USA","Canada,USA,UK",1. Idea or Patent,"We invest in pre-seed / smaller seed rounds as lead, and write $300-$600K checks.

First and foremost, we always want to meet exceptional founders with a compelling vision and strong founder-market-fit, regardless of the industry they are building in.

We look for companies that are differentiated and defensible through data and technology.

Business models we like: API/Data Platforms, Marketplaces/Networks, B2B Vertical SaaS, Consumer Subscription with science/technology edge.

Sectors we gravitate towards: Anything API first, bio/genomics, digital health, frontier tech (preferably software/enablement layer, but would do hardware too), sustainability, AI/ML applications, fintech, femtech, eldertech, VR/AR.",VC,"$300,000","$2,000,000"
2080 Ventures,https://www.2080.ventures/,"San Fransisco, CA ","Brazil,Cabo Verde,Cambodia,Estonia,Georgia,Hong Kong,India,Israel,Japan,Lithuania,Saudi Arabia,Singapore,South Korea,Tajikistan,UAE,Uzbekistan,USA,Vietnam,Thailand,Albania,Australia,Armenia,Azerbaijan,Bangladesh,Brunei,China,Czech Republic,Egypt,Kuwait,Qatar","2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in fast-growing markets and awesome new technologies. Our work includes helping startups in Fintech, AI, Healthcare, Clean Energy, EdTech, Blockchain, Cybersecurity, E-commerce, Biotech, ClimateTech, and more. If it's cool and makes the world better, we're in! ",VC,"$100,000","$500,000"
2150,https://www.2150.vc/,"London, UK","UK,USA,Denmark,Finland,Germany,France,Sweden,Spain","4. Scaling,3. Early Revenue,5. Growth","We invest in technology companies that seek to sustainably reimagine and reshape the urban environment. 2150’s investment thesis focuses on major unsolved problems across what it calls the ‘Urban Stack’, which comprises every element of the built environment, from the way our cities are designed, constructed and powered, to the way people live, work and are cared for.
",VC,"$1,000,000","$7,000,000"
A-Venture,https://a-venture.eu/en/,33 avenue Foch 75116 Paris,"France,Luxembourg,Germany","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in French, Luxembourgish and German startups, operating in the environment, mobility and hospitality sectors.",VC,"$30,000","$1,000,000"
A’Z Angels,https://www.azizventures.com/,"2 Embarcadero Center, San Francisco",USA,"3. Early Revenue,4. Scaling","We invest in Fintech, SaaS, Security, and blockchain startups.",VC,"$25,000","$1,000,000"
A/O PropTech,https://www.aoproptech.com/,"Floor 1, 32 Wigmore Street, London, W1U 2RP","Canada,USA,Belgium,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,UK,Israel,UAE","2. Prototype,3. Early Revenue,4. Scaling","We invest in Built World Technology.

Stage agnostic, investing permanent capital to support entrepreneurs & companies from Series A to later-stage growth.",VC,"$2,000,000","$10,000,000"
A&G Energy Transition Tech Fund,https://www.ayg.es,"Paseo Castellana 92, España, 28080, Madrid",Spain,5. Growth,"We invest in cleantech (SaaS, PaaS, cleantech, IoT, industry 4.0, blockchain, etc companis with business model tested and low tecnology risk. ",VC,"$5,000,000","$10,000,000"
A2D Ventures,https://www.a2dventures.com/,"68 Circular Road, Singapore, 049422, Singapore","Singapore,Thailand,Vietnam,Philippines,Indonesia,Malaysia","3. Early Revenue,4. Scaling","We invest in early stage startups across Southeast Asia as syndicate lead, connecting investment opportunities with accredited angels and family offices from Southeast Asia. ",Other,"$100,000","$500,000"
Aadhyanta Fund,https://www.aadhyanta.com/,"Maharajgunj, next to UNHCR building, Kathmandu, 03 44600, NP",Nepal,"2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in fintech, agritech, infrastructure, SaaS",VC,"$10,000","$1,500,000"
Abac Nest Ventures,https://abacnest.abaccapital.com/en/,"Carrer de Lleó XIII, 24, Sarrià-Sant Gervasi, 08022 Barcelona",Spain,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in outlier entrepreneurs building B2S SaaS solutions to transform the SME industry across Southern Europe,VC,"$150,000","$500,000"
Abdelmuhaimen Madi,https://designos.co/,"Toronto, M5R 1V9, Canada","Canada,USA,Belgium,Czech Republic,Estonia,Finland,Italy,Malta,UK,Ukraine,Algeria,Bahrain,Egypt,Jordan,Kuwait,Lybia,Morocco,Oman,Palestine,Qatar,Saudi Arabia,Tunisia,Turkey,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","I invest in early stage startups, in any sector. I prefer subscription based business models.",Solo angel,"$5,000","$100,000"
Abdulaziz Binzaraah,,Saudi Arabia,"Canada,USA,China,Hong Kong,India,Indonesia,Japan,Malaysia,Philippines,Singapore,South Korea,Sri Lanka,Taiwan","2. Prototype,3. Early Revenue,4. Scaling",I invest in tech,Solo angel,"$5,000","$100,000"
Abhilash Dubbaka,,"Munich, Bavaria, Germany","Austria,Belgium,Denmark,Finland,France,Germany,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,UK","3. Early Revenue,4. Scaling","I invest in FinTech and AI/DeepTech start-ups, specifically on B2B business models.",Solo angel,"$1,000","$5,000"
